bond,edit,file,,,
step,addstereo,0,,,
pad,0,0,,,
4,4,1,,,
7,7,1,,,
12,12,1,,,
11,11,1,,,
3,3,1,,,
15,15,1,,,
step,RedClev,20,,,
pad,2,16 16,,,
16,21,1,,,
16,22,1,,,
step,ketal,22,,,
pad,1,8,,,
16,21,-1,,,
16,22,-1,,,
16,23,2,,,
step,Eschemoser,23,,,
pad,0,0,,,
2,1,-2,,,
step,AlkeneRed,23,,,
pad,0,0,,,
8,9,1,,,
step,DielsAlder,23,,,
pad,0,0,,,
8,9,-1,,,
9,10,1,,,
10,11,-1,,,
11,12,1,,,
12,7,-1,,,
7,8,1,,,
11,11,-1,,,
12,12,-1,,,
7,7,-1,,,
step,crosscouple,23,,,
pad,1,53,,,
6,7,-1,,,
6,24,1,,,
step,Appel,24,,,
pad,1,8,,,
6,24,-1,,,
6,25,1,,,
step,IntraAlk,25,,,
pad,1,53,,,
14,15,-1,,,
14,26,1,,,
step,HaloExchange,26,,,
pad,1,17,,,
14,26,-1,,,
14,27,1,,,
step,DiAlk,27,,,
pad,0,0,,,
4,12,-1,,,
4,15,1,,,
15,17,-1,,,
15,15,-1,,,
4,4,-1,,,
step,StorkDanheiser,27,,,
pad,2,8 6,,,
4,5,-1,,,
4,28,2,,,
4,15,-1,,,
15,16,1,,,
16,23,-1,,,
23,29,1,,,
step,EndersSAMP,29,,,
pad,0,0,,,
3,20,-1,,,
step,end,end,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
